habit_date,meditate,exercise,morning,day,evening,drinks,candy,pen,video_games,day_of_week,day_label,week_number,month,weekend,drinks_flag,candy_flag,pen_flag,video_games_flag,total_score,morning_chart,day_chart,evening_chart,total_score_lag1,morning_lag1,day_lag1,evening_lag1,meditate_lag1,exercise_lag1,drinks_lag1,candy_lag1,pen_lag1,drinks_flag_lag1,candy_flag_lag1,pen_flag_lag1,video_games_lag1,total_score_chart,total_score_chart_r3,sleep_score,sleep_start_time,time_to_fall_asleep,restful_time,restless_time,bed_exit_time,laydown_time,out_of_bed_time
9/23/2024,1,1,3,2,3,0,0,0,0,0,Monday,39,9,0,0,0,0,0,8,3,2,3,6,2,2,2,0,1,0,0,0,0,0,0,0,8,7.333333333,,,,,,,,
9/22/2024,0,0,3,4,3,0,0,0,0,6,Sunday,38,9,1,0,0,0,0,10,3,4,3,8,3,2,3,1,1,0,0,0,0,0,0,0,10,8,,,,,,,,
9/21/2024,1,1,3,3,4,0,0,0,0,5,Saturday,38,9,1,0,0,0,0,10,3,3,4,10,3,4,3,0,0,0,0,0,0,0,0,0,10,9.333333333,,,,,,,,
9/20/2024,0,0,3,3,3,0,0,0,0,4,Friday,38,9,0,0,0,0,0,9,3,3,3,10,3,3,4,1,1,0,0,0,0,0,0,0,9,9.666666667,,,,,,,,
9/19/2024,1,0,3,3,3,0,0,0,0,3,Thursday,38,9,0,0,0,0,0,9,3,3,3,9,3,3,3,0,0,0,0,0,0,0,0,0,9,9.333333333,,,,,,,,
9/18/2024,1,0,3,2,3,0,0,0,0,2,Wednesday,38,9,0,0,0,0,0,8,3,2,3,9,3,3,3,1,0,0,0,0,0,0,0,0,8,8.666666667,,,,,,,,
9/17/2024,1,0,3,3,4,0,0,0,0,1,Tuesday,38,9,0,0,0,0,0,10,3,3,4,8,3,2,3,1,0,0,0,0,0,0,0,0,10,9,,,,,,,,
9/16/2024,1,1,4,4,3,0,0,0,0,0,Monday,38,9,0,0,0,0,0,11,4,4,3,10,3,3,4,1,0,0,0,0,0,0,0,0,11,9.666666667,,,,,,,,
9/15/2024,0,1,4,4,,0,0,0,0,6,Sunday,37,9,1,0,0,0,0,,4,4,3,11,4,4,3,1,1,0,0,0,0,0,0,0,11,10.66666667,,,,,,,,
9/14/2024,0,0,4,4,3,0,0,0,0,5,Saturday,37,9,1,0,0,0,0,11,4,4,3,,4,4,,0,1,0,0,0,0,0,0,0,11,11,,,,,,,,
9/13/2024,0,1,4,4,4,0,0,0,0,4,Friday,37,9,0,0,0,0,0,12,4,4,4,11,4,4,3,0,0,0,0,0,0,0,0,0,12,11.33333333,,,,,,,,
9/12/2024,1,0,4,3,4,0,0,0,0,3,Thursday,37,9,0,0,0,0,0,11,4,3,4,12,4,4,4,0,1,0,0,0,0,0,0,0,11,11.33333333,,,,,,,,
9/11/2024,1,1,4,,,0,0,0,0,2,Wednesday,37,9,0,0,0,0,0,,4,3.5,4,11,4,3,4,1,0,0,0,0,0,0,0,0,11.5,11.5,,,,,,,,
9/10/2024,1,1,4,4,4,0,0,0,0,1,Tuesday,37,9,0,0,0,0,0,12,4,4,4,,4,,,1,1,0,0,0,0,0,0,0,12,11.5,,,,,,,,
9/9/2024,1,0,2,2,3,0,0,0,0,0,Monday,37,9,0,0,0,0,0,7,2,2,3,12,4,4,4,1,1,0,0,0,0,0,0,0,7,10.16666667,,,,,,,,
9/8/2024,0,0,3,3,3,0,0,0,0,6,Sunday,36,9,1,0,0,0,0,9,3,3,3,7,2,2,3,1,0,0,0,0,0,0,0,0,9,9.333333333,,,,,,,,
9/7/2024,0,0,3,3,3,0,0,0,0,5,Saturday,36,9,1,0,0,0,0,9,3,3,3,9,3,3,3,0,0,0,0,0,0,0,0,0,9,8.333333333,,,,,,,,
9/6/2024,0,0,3,3,3,0,0,0,0,4,Friday,36,9,0,0,0,0,0,9,3,3,3,9,3,3,3,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,
9/5/2024,1,1,4,3,2,0,0,0,0,3,Thursday,36,9,0,0,0,0,0,9,4,3,2,9,3,3,3,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,
9/4/2024,0,0,,,,0,0,0,0,2,Wednesday,36,9,0,0,0,0,0,,4,3,3,9,4,3,2,1,1,0,0,0,0,0,0,0,10,9.333333333,,,,,,,,
9/3/2024,1,0,4,3,4,0,0,0,0,1,Tuesday,36,9,0,0,0,0,0,11,4,3,4,,,,,0,0,0,0,0,0,0,0,0,11,10,,,,,,,,
9/2/2024,0,0,,,,0,0,0,0,0,Monday,36,9,0,0,0,0,0,,3.833333333,2.833333333,3.666666667,11,4,3,4,1,0,0,0,0,0,0,0,0,10.33333333,10.44444444,,,,,,,,
9/1/2024,0,0,,,,0,0,0,0,6,Sunday,35,9,1,0,0,0,0,,3.666666667,2.666666667,3.333333333,,,,,0,0,0,0,0,0,0,0,0,9.666666667,10.33333333,,,,,,,,
8/31/2024,0,0,,,,0,0,0,0,5,Saturday,35,8,1,0,0,0,0,,3.5,2.5,3,,,,,0,0,0,0,0,0,0,0,0,9,9.666666667,,,,,,,,
8/30/2024,0,0,,,,0,0,0,0,4,Friday,35,8,0,0,0,0,0,,3.333333333,2.333333333,2.666666667,,,,,0,0,0,0,0,0,0,0,0,8.333333333,9,,,,,,,,
8/29/2024,0,0,,,,0,0,0,0,3,Thursday,35,8,0,0,0,0,0,,3.166666667,2.166666667,2.333333333,,,,,0,0,0,0,0,0,0,0,0,7.666666667,8.333333333,,,,,,,,
8/28/2024,1,0,3,2,2,0,0,0,0,2,Wednesday,35,8,0,0,0,0,0,7,3,2,2,,,,,0,0,0,0,0,0,0,0,0,7,7.666666667,,,,,,,,
8/27/2024,1,0,3,2,2,0,0,0,0,1,Tuesday,35,8,0,0,0,0,0,7,3,2,2,7,3,2,2,1,0,0,0,0,0,0,0,0,7,7.222222222,,,,,,,,
8/26/2024,1,1,3,2,2,0,0,0,0,0,Monday,35,8,0,0,0,0,0,7,3,2,2,7,3,2,2,1,0,0,0,0,0,0,0,0,7,7,,,,,,,,
8/25/2024,0,0,4,5,3,0,0,0,0,6,Sunday,34,8,1,0,0,0,0,12,4,5,3,7,3,2,2,1,1,0,0,0,0,0,0,0,12,8.666666667,,,,,,,,
8/24/2024,0,0,5,4,4,0,0,0,0,5,Saturday,34,8,1,0,0,0,0,13,5,4,4,12,4,5,3,0,0,0,0,0,0,0,0,0,13,10.66666667,,,,,,,,
8/23/2024,1,1,4,4,4,0,0,0,0,4,Friday,34,8,0,0,0,0,0,12,4,4,4,13,5,4,4,0,0,0,0,0,0,0,0,0,12,12.33333333,,,,,,,,
8/22/2024,1,1,4,4,4,0,0,0,0,3,Thursday,34,8,0,0,0,0,0,12,4,4,4,12,4,4,4,1,1,0,0,0,0,0,0,0,12,12.33333333,,,,,,,,
8/21/2024,0,0,,,,0,0,0,0,2,Wednesday,34,8,0,0,0,0,0,,3.5,3.5,4,12,4,4,4,1,1,0,0,0,0,0,0,0,11,11.66666667,,,,,,,,
8/20/2024,0,0,3,3,,0,0,0,0,1,Tuesday,34,8,0,0,0,0,0,,3,3,4,,,,,0,0,0,0,0,0,0,0,0,10,11,,,,,,,,
