,year,ice_day,avg_temp_jul_oct,min_temp_jul_oct,max_temp_jul_oct,temp_std_dev,temp_range,final_daily_avg,final_max_temp,final_min_temp,total_precipitation,freezing_days_count,days_below_40_count,days_below_45_count,days_below_50_count,max_monthly_temp_drop,cumulative_precipitation_oct31,cumulative_freezing_days_oct31,oct_avg_temp,oct_min_temp,oct_max_temp,oct_freezing_days,avg_temp_month_7,avg_temp_month_8,avg_temp_month_9,avg_temp_month_10,final_rolling_avg_7d,final_rolling_avg_14d,final_rolling_avg_30d,temp_change_7_to_8,temp_change_8_to_9,temp_change_9_to_10
10,1988,31.0,64.59349593495935,16.0,105.0,15.200483921532033,63.0,44.0,56.0,32.0,9.05,3,8,19,23,-18.431720430107525,15.55,70,43.95161290322581,16.0,76.0,3,78.04838709677419,73.91935483870968,62.38333333333333,43.95161290322581,34.07142857142857,37.32142857142857,43.416666666666664,-4.1290322580645125,-11.536021505376347,-18.431720430107525
11,1989,32.0,64.5040650406504,23.0,97.0,12.424113243904952,49.0,38.5,46.0,31.0,8.23,0,5,14,19,-11.012365591397852,21.52,76,49.87096774193548,23.0,85.0,0,76.38709677419355,70.75806451612904,60.88333333333333,49.87096774193548,54.142857142857146,51.0,49.35,-5.6290322580645125,-9.874731182795706,-11.012365591397852
12,1990,47.0,63.58130081300813,26.0,100.0,11.594828903886818,48.5,54.0,70.0,38.0,9.88,0,4,11,21,-16.269892473118276,31.39,63,48.096774193548384,26.0,82.0,0,71.29032258064517,70.59677419354838,64.36666666666666,48.096774193548384,47.0,44.714285714285715,47.833333333333336,-0.6935483870967829,-6.230107526881724,-16.269892473118276
13,1991,24.0,62.3780487804878,22.0,94.0,12.909575405300593,57.0,30.0,32.0,28.0,14.04,2,6,16,26,-12.163440860215054,30.35,63,47.12903225806452,22.0,79.0,2,72.24193548387096,71.09677419354838,58.93333333333333,47.12903225806452,40.785714285714285,43.75,46.733333333333334,-1.1451612903225765,-12.163440860215054,-11.80430107526881
14,1992,48.0,59.66260162601626,22.0,91.0,10.428227757374188,51.5,41.0,44.0,38.0,17.060000000000002,1,9,14,23,-12.179569892473118,26.669999999999998,52,47.38709677419355,22.0,84.0,1,65.75806451612904,65.93548387096774,59.56666666666667,47.38709677419355,42.857142857142854,43.92857142857143,46.833333333333336,0.17741935483870463,-6.368817204301074,-12.179569892473118
15,1993,40.0,60.58130081300813,26.0,89.0,12.11528873963949,49.0,32.0,38.0,26.0,14.91,1,7,14,29,-15.469354838709677,30.09,75,46.46774193548387,26.0,81.0,1,70.30645161290323,70.41935483870968,54.95,46.46774193548387,39.92857142857143,45.392857142857146,46.4,0.1129032258064484,-15.469354838709677,-8.482258064516131
16,1994,40.0,63.46747967479675,28.0,93.0,9.191884302933643,39.5,41.5,54.0,29.0,16.41,0,1,4,11,-12.089784946236556,27.75,69,52.193548387096776,28.0,73.0,0,70.08064516129032,67.33870967741936,64.28333333333333,52.193548387096776,46.5,49.357142857142854,52.11666666666667,-2.741935483870961,-3.055376344086028,-12.089784946236556
17,1995,27.0,64.16260162601625,24.0,101.0,13.021812711401473,53.5,36.5,40.0,33.0,13.2,0,4,12,26,-14.54354838709677,23.63,65,48.596774193548384,24.0,85.0,0,73.08064516129032,74.69354838709677,60.15,48.596774193548384,42.214285714285715,42.32142857142857,48.25,1.6129032258064484,-14.54354838709677,-11.553225806451614
18,1996,25.0,62.853658536585364,16.0,94.0,11.418049363157273,57.5,24.0,32.0,16.0,7.829999999999999,1,3,10,21,-13.375806451612902,19.22,75,48.774193548387096,16.0,80.0,1,70.01612903225806,70.45161290322581,62.15,48.774193548387096,43.0,43.535714285714285,48.1,0.43548387096774377,-8.30161290322581,-13.375806451612902
19,1997,55.0,63.09349593495935,13.0,93.0,11.741294227523575,55.5,46.5,61.0,32.0,23.830000000000002,2,7,11,17,-12.205913978494621,33.43,79,50.17741935483871,13.0,90.0,2,71.03225806451613,68.75806451612904,62.38333333333333,50.17741935483871,37.285714285714285,39.714285714285715,50.06666666666667,-2.274193548387089,-6.374731182795706,-12.205913978494621
20,1998,54.0,65.4390243902439,28.0,94.0,10.246067891494041,41.5,45.5,47.0,44.0,12.129999999999999,0,0,4,13,-15.503763440860212,31.61,59,51.11290322580645,28.0,72.0,0,72.51612903225806,71.54838709677419,66.61666666666666,51.11290322580645,52.285714285714285,50.464285714285715,51.266666666666666,-0.9677419354838719,-4.931720430107532,-15.503763440860212
21,1999,50.0,64.2560975609756,26.0,99.0,12.107335172283388,50.0,54.5,68.0,41.0,10.84,0,2,11,16,-11.51881720430108,29.44,62,49.564516129032256,26.0,78.0,0,76.2258064516129,70.04838709677419,61.083333333333336,49.564516129032256,53.0,47.82142857142857,49.833333333333336,-6.177419354838705,-8.965053763440856,-11.51881720430108
22,2000,35.0,64.86585365853658,29.0,93.0,10.633436509952721,44.5,58.5,71.0,46.0,12.53,0,3,6,14,-10.545698924731177,25.87,57,53.225806451612904,29.0,84.0,0,72.41935483870968,72.12903225806451,61.583333333333336,53.225806451612904,54.42857142857143,56.857142857142854,52.81666666666667,-0.29032258064516725,-10.545698924731177,-8.357526881720432
23,2001,62.0,64.90650406504065,29.0,99.0,13.106178869659452,53.5,55.0,61.0,49.0,9.21,0,4,10,22,-13.212365591397848,30.72,80,48.58064516129032,29.0,86.0,0,75.87096774193549,74.12903225806451,60.916666666666664,48.58064516129032,43.714285714285715,46.535714285714285,48.166666666666664,-1.741935483870975,-13.212365591397848,-12.336021505376344
24,2002,32.0,63.78048780487805,24.0,95.0,15.313010960556673,58.0,29.0,34.0,24.0,21.57,2,16,20,26,-23.660215053763444,38.1,70,41.806451612903224,24.0,75.0,2,77.0,70.90322580645162,65.46666666666667,41.806451612903224,36.142857142857146,35.67857142857143,41.166666666666664,-6.096774193548384,-5.436559139784947,-23.660215053763444
25,2003,41.0,65.66666666666667,28.0,97.0,12.917561224091106,51.5,36.0,40.0,32.0,5.99,0,6,12,18,-12.774193548387103,21.39,70,51.04838709677419,28.0,85.0,0,73.74193548387096,75.2741935483871,62.5,51.04838709677419,37.785714285714285,46.82142857142857,51.45,1.5322580645161423,-12.774193548387103,-11.451612903225808
26,2004,49.0,63.97154471544715,29.0,95.0,10.698418148164903,49.0,42.0,44.0,40.0,11.08,0,3,7,16,-17.352688172043017,26.02,64,50.08064516129032,29.0,78.0,0,72.16129032258064,66.3225806451613,67.43333333333334,50.08064516129032,50.285714285714285,50.0,50.03333333333333,-5.838709677419345,1.1107526881720418,-17.352688172043017
27,2005,36.0,66.77235772357723,31.0,97.0,11.811749504742647,49.5,44.0,50.0,38.0,18.05,0,1,9,15,-13.994086021505375,30.91,63,52.32258064516129,31.0,85.0,0,76.7741935483871,71.66129032258064,66.31666666666666,52.32258064516129,47.142857142857146,47.0,51.766666666666666,-5.112903225806463,-5.344623655913978,-13.994086021505375
28,2006,33.0,64.36178861788618,24.0,101.0,14.894065934234076,60.5,30.0,36.0,24.0,11.040000000000001,1,9,17,26,-13.697849462365589,24.52,61,45.935483870967744,24.0,84.0,1,79.62903225806451,72.09677419354838,59.63333333333333,45.935483870967744,41.714285714285715,38.92857142857143,45.266666666666666,-7.532258064516128,-12.463440860215051,-13.697849462365589
29,2007,32.0,66.80081300813008,31.0,98.0,11.066442376598882,41.0,50.5,62.0,39.0,22.28,0,0,2,14,-10.493548387096773,32.75,70,54.306451612903224,31.0,87.0,0,75.96774193548387,72.06451612903226,64.8,54.306451612903224,49.0,50.464285714285715,54.13333333333333,-3.9032258064516157,-7.264516129032259,-10.493548387096773
30,2008,37.0,65.49186991869918,27.0,94.0,11.329633228736679,49.5,51.5,62.0,41.0,9.219999999999999,0,2,7,15,-13.179569892473118,20.09,72,50.38709677419355,27.0,78.0,0,75.51612903225806,72.43548387096774,63.56666666666667,50.38709677419355,44.714285714285715,45.964285714285715,50.4,-3.0806451612903203,-8.868817204301074,-13.179569892473118
31,2009,44.0,62.2520325203252,26.0,90.0,12.441234649563167,47.5,39.5,44.0,35.0,14.629999999999999,0,8,18,29,-23.35591397849462,22.59,70,43.17741935483871,26.0,64.0,0,70.0,69.43548387096774,66.53333333333333,43.17741935483871,45.285714285714285,44.964285714285715,43.0,-0.5645161290322562,-2.9021505376344123,-23.35591397849462
32,2010,32.0,66.9390243902439,28.0,96.0,11.707428174036341,49.5,39.5,49.0,30.0,15.07,0,3,5,10,-16.78279569892473,28.03,62,54.016129032258064,28.0,87.0,0,76.2741935483871,77.01612903225806,60.233333333333334,54.016129032258064,43.857142857142854,48.142857142857146,53.86666666666667,0.7419354838709609,-16.78279569892473,-6.21720430107527
33,2011,45.0,67.6910569105691,31.0,99.0,12.048121256741904,47.5,41.5,50.0,33.0,18.64,0,0,12,26,-10.680645161290322,52.53,172,55.33870967741935,31.0,88.0,0,78.79032258064517,73.58064516129032,62.9,55.33870967741935,44.642857142857146,45.964285714285715,55.483333333333334,-5.209677419354847,-10.680645161290322,-7.561290322580646
34,2012,52.0,65.89430894308943,25.0,102.0,14.09630983459686,55.5,38.5,52.0,25.0,7.880000000000001,0,7,15,20,-16.383333333333333,27.32,51,47.5,25.0,78.0,0,80.16129032258064,71.96774193548387,63.88333333333333,47.5,37.857142857142854,44.82142857142857,47.0,-8.193548387096769,-8.084408602150539,-16.383333333333333
35,2013,28.0,66.48780487804878,26.0,97.0,13.156601443206592,55.5,45.0,50.0,40.0,9.93,0,6,11,17,-18.021505376344088,30.79,82,49.145161290322584,26.0,78.0,0,74.95161290322581,74.70967741935483,67.16666666666667,49.145161290322584,42.142857142857146,40.285714285714285,48.61666666666667,-0.24193548387097508,-7.543010752688161,-18.021505376344088
36,2014,26.0,64.1910569105691,26.0,92.0,11.15492986751569,50.0,33.0,40.0,26.0,7.840000000000001,0,2,10,17,-13.538709677419355,33.67,81,49.16129032258065,26.0,72.0,0,71.53225806451613,73.3225806451613,62.7,49.16129032258065,45.07142857142857,48.67857142857143,48.983333333333334,1.7903225806451672,-10.622580645161293,-13.538709677419355
37,2016,45.0,66.89024390243902,36.0,97.0,10.488388698032105,42.0,50.0,58.0,42.0,21.79,0,0,4,13,-13.180645161290315,35.2,55,52.91935483870968,36.0,76.0,0,75.16129032258064,73.35483870967742,66.1,52.91935483870968,48.714285714285715,49.142857142857146,52.583333333333336,-1.806451612903217,-7.254838709677429,-13.180645161290315
38,2017,43.0,65.64227642276423,27.0,96.0,11.206614031638267,54.0,31.0,35.0,27.0,15.4,2,5,6,12,-15.911290322580648,31.18,50,51.33870967741935,27.0,78.0,2,75.3225806451613,68.70967741935483,67.25,51.33870967741935,37.57142857142857,47.25,51.083333333333336,-6.612903225806463,-1.4596774193548328,-15.911290322580648
39,2018,27.0,64.95528455284553,28.0,95.0,13.522750734165218,48.5,45.5,54.0,37.0,17.54,0,4,14,27,-19.359139784946244,30.59,73,45.774193548387096,28.0,79.0,0,74.98387096774194,73.93548387096774,65.13333333333334,45.774193548387096,47.285714285714285,46.714285714285715,45.733333333333334,-1.0483870967741922,-8.802150537634404,-19.359139784946244
40,2019,31.0,64.77235772357723,23.0,95.0,12.910831015481893,54.5,31.0,36.0,26.0,20.729999999999997,2,8,14,19,-20.60322580645162,39.06,73,46.096774193548384,23.0,73.0,2,75.35483870967742,71.0,66.7,46.096774193548384,36.642857142857146,42.464285714285715,45.71666666666667,-4.3548387096774235,-4.299999999999997,-20.60322580645162
41,2020,54.0,63.50406504065041,16.0,93.0,15.193357038327498,59.0,44.0,55.0,33.0,10.45,7,13,19,24,-17.718817204301075,27.78,69,43.564516129032256,16.0,80.0,7,76.01612903225806,73.08064516129032,61.28333333333333,43.564516129032256,33.42857142857143,32.357142857142854,43.36666666666667,-2.9354838709677438,-11.797311827956989,-17.718817204301075
42,2021,37.0,68.03252032520325,31.0,96.0,10.291596890022202,44.0,42.5,49.0,36.0,11.110000000000001,0,0,6,11,-10.869354838709683,23.16,53,55.58064516129032,31.0,79.0,0,76.0,74.04838709677419,66.45,55.58064516129032,46.785714285714285,48.25,55.05,-1.9516129032258078,-7.598387096774189,-10.869354838709683
43,2022,37.0,66.64634146341463,23.0,95.0,11.84198070413903,51.5,51.5,65.0,38.0,5.93,0,4,10,14,-14.176344086021508,18.75,72,51.79032258064516,23.0,80.0,0,76.30645161290323,72.5,65.96666666666667,51.79032258064516,49.42857142857143,50.25,51.38333333333333,-3.8064516129032313,-6.533333333333331,-14.176344086021508
44,2023,73.0,67.53252032520325,24.0,98.0,12.197611267993226,57.0,31.5,37.0,26.0,15.079999999999998,3,4,5,12,-17.180107526881713,27.37,75,51.903225806451616,24.0,92.0,3,74.51612903225806,74.6774193548387,69.08333333333333,51.903225806451616,40.0,46.964285714285715,50.95,0.16129032258064058,-5.594086021505376,-17.180107526881713
