bins,month,max_temp,min_temp,daily_avg,precipitation,snow,snow_depth,low_freezing,high_freezing,avg_freezing
2020-onward,2,29.216256157635467,11.455911330049261,20.336083743842362,0.03476847290640394,0.3264285714285714,5.694581280788177,0.5018181818181818,0.2509090909090909,0.3927272727272727
2020-onward,3,43.56774193548387,27.01290322580645,35.29032258064516,0.08651612903225805,0.2651612903225806,1.761290322580645,0.3890909090909091,0.06545454545454546,0.18181818181818182
2020-onward,4,54.720000000000006,36.81333333333333,45.766666666666666,0.09913333333333334,0.088,0.15999999999999998,0.15272727272727274,0.0036363636363636364,0.025454545454545455
2020-onward,5,71.03225806451613,51.56774193548388,61.3,0.12187096774193548,0.0,0.0,0.0,0.0,0.0
2020-onward,6,83.43333333333332,63.373333333333335,73.40333333333334,0.12073333333333333,0.0,0.0,0.0,0.0,0.0
2020-onward,7,84.8516129032258,65.93548387096774,75.39354838709679,0.08658064516129033,0.0,0.0,0.0,0.0,0.0
2020-onward,8,82.1741935483871,64.15483870967742,73.16451612903225,0.1470322580645161,0.0,0.0,0.0,0.0,0.0
2020-onward,9,76.30666666666666,56.95333333333333,66.63,0.05586666666666666,0.0,0.0,0.0,0.0,0.0
2020-onward,10,60.858064516129026,43.251612903225805,52.05483870967741,0.06941935483870967,0.08129032258064517,0.1032258064516129,0.07636363636363637,0.0036363636363636364,0.03636363636363636
2020-onward,11,45.98133333333333,30.678666666666665,38.33,0.046053333333333335,0.16306666666666667,0.36,0.2872727272727273,0.05454545454545454,0.14181818181818182
2020-onward,12,32.54032258064516,18.467741935483872,25.504032258064516,0.054919354838709675,0.45,2.6370967741935485,0.39636363636363636,0.19272727272727272,0.2909090909090909
