habit_date,meditate,exercise,morning,day,evening,drinks,candy,pen,day_of_week,day_label,week_number,month,weekend,total_score,morning_chart,day_chart,evening_chart,total_score_chart,total_score_chart_r3
2024-09-03,1,0,4.0,3.0,4.0,0.0,0.0,0.0,1,Tuesday,36,9,0,11.0,4.0,3.0,4.0,11.0,10.0
2024-09-02,0,0,,,,0.0,0.0,0.0,0,Monday,36,9,0,,3.8333333333333335,2.8333333333333335,3.6666666666666665,10.333333333333334,10.444444444444445
2024-09-01,0,0,,,,0.0,0.0,0.0,6,Sunday,35,9,0,,3.6666666666666665,2.6666666666666665,3.3333333333333335,9.666666666666666,10.333333333333334
2024-08-31,0,0,,,,0.0,0.0,0.0,5,Saturday,35,8,0,,3.5,2.5,3.0,9.0,9.666666666666666
2024-08-30,0,0,,,,0.0,0.0,0.0,4,Friday,35,8,0,,3.3333333333333335,2.3333333333333335,2.666666666666667,8.333333333333334,9.0
2024-08-29,0,0,,,,0.0,0.0,0.0,3,Thursday,35,8,0,,3.166666666666667,2.166666666666667,2.3333333333333335,7.666666666666668,8.333333333333334
2024-08-28,1,0,3.0,2.0,2.0,0.0,0.0,0.0,2,Wednesday,35,8,0,7.0,3.0,2.0,2.0,7.0,7.666666666666667
2024-08-27,1,0,3.0,2.0,2.0,0.0,0.0,0.0,1,Tuesday,35,8,0,7.0,3.0,2.0,2.0,7.0,7.222222222222222
2024-08-26,1,1,3.0,2.0,2.0,0.0,0.0,0.0,0,Monday,35,8,0,7.0,3.0,2.0,2.0,7.0,7.0
2024-08-25,0,0,4.0,5.0,3.0,0.0,0.0,0.0,6,Sunday,34,8,0,12.0,4.0,5.0,3.0,12.0,8.666666666666666
2024-08-24,0,0,5.0,4.0,4.0,0.0,0.0,0.0,5,Saturday,34,8,0,13.0,5.0,4.0,4.0,13.0,10.666666666666666
2024-08-23,1,1,4.0,4.0,4.0,0.0,0.0,0.0,4,Friday,34,8,0,12.0,4.0,4.0,4.0,12.0,12.333333333333334
2024-08-22,1,1,4.0,4.0,4.0,0.0,0.0,0.0,3,Thursday,34,8,0,12.0,4.0,4.0,4.0,12.0,12.333333333333334
2024-08-21,0,0,,,,0.0,0.0,0.0,2,Wednesday,34,8,0,,3.5,3.5,4.0,11.0,11.666666666666666
2024-08-20,0,0,3.0,3.0,,0.0,0.0,0.0,1,Tuesday,34,8,0,,3.0,3.0,4.0,10.0,11.0
