Administrator,Access Type,Notes,Use Type,lake_id
DNR,Concrete,,Open to Public use,01006200
Corps of Engineers,Concrete,There is a boat launch on either side of libby dam.,Fee/Permit needed,01006200
DNR,Concrete,There is a boat launch on either side of the road. One accessing bell horn bay an the other the northeast arm of Big Sandy.,Open to Public use,01006200
Township,Concrete,,Open to Public use,01006200
Unknown,Other,The state owned access with concrete log ramp is on the southeast end of the lake.,Unknown,01006900
DNR,Concrete,,Open to Public use,01007000
DNR,Concrete,The state owned public access is on the north side of the lake and can be reached from US 210 via T453 and T357.,Open to Public use,01007200
Township,Other,Jevne Township owns an unimproved steep-sloped access on the East side of the lake; near the intersection of Town Road and Pine Street.,Unknown,01007300
County,Carry-In,Can launch a small boat here,Open to Public use,01007400
Township,Earthen,The township owned access; with a dirt ramp; is located on the south end of the lake at the intersection of SH 232 and T545.,Unknown,01007700
Unknown,Other,NONE,Unknown,01007800
Unknown,Other,THERE IS NO DESIGNATED PUBLIC ACCESS ON TOWNLINE LAKE,Unknown,01008300
DNR,Concrete,,Open to Public use,01008700
DNR,Concrete,THE PUBLIC ACCESS IS LOCATED AT THE NORTH END OF THE LAKE.,Open to Public use,01008900
DNR,Concrete,,Open to Public use,01009100
Unknown,Other,THE STATE OWNED ACCESS IS ON THE SOUTH SIDE OF THE LAKE.,Unknown,01009200
DNR,Concrete,,Open to Public use,01009300
DNR,Concrete,west side of the lake off CAR 53,Open to Public use,01009600
DNR,Concrete,,Open to Public use,01009900
Unknown,Other,NONE,Unknown,01010000
Township,Concrete,East side of lake,Open to Public use,01010200
DNR,Earthen,THERE IS AN ENFORCEMENT CONTROLLED ACCESS AT THE NORTH END.,Open to Public use,01010400
DNR,Concrete,,Open to Public use,01010500
DNR,Carry-In,THE PUBLIC ACCESS IS LOCATED ON THE NORTHEAST CORNER OF THE LAKE.,Open to Public use,01010900
DNR,Concrete,,Open to Public use,01011500
DNR,Concrete,The designated public access is located on the southeast corner of the lake.,Open to Public use,01011700
Unknown,Other,NONE,Unknown,01011800
DNR,Concrete,,Open to Public use,01012000
Unknown,Other,NONE,Unknown,01012200
County,Gravel,,Open to Public use,01012300
DNR,Concrete,THE STATE OWNED PUBLIC ACCESS WITH CONCRETE RAMP IS ON THE SOUTH SIDE OF THE LAKE IN SECTION 29.,Open to Public use,01012500
Unknown,Other,NONE,Unknown,01012600
DNR,Gravel,,Open to Public use,01012900
DNR,Concrete,,Open to Public use,01013200
DNR,Concrete,THE DESIGNATED PUBLIC ACCESS IS ON THE SOUTH SIDE OF THE LAKE AND CAN BE REACHED VIA SOUTH WAUKENABO LAKE ROAD.,Open to Public use,01013600
DNR,Concrete,south side of the lake; can be reached from CSAH 3,Open to Public use,01013700
Unknown,Other,NONE,Unknown,01014100
City,Concrete,The Hill City Park public access is located near the southwest corner of the main basin of the lake.,Unknown,01014200
DNR,Concrete,The designated public access is in the south basin of the lake (T52N R26W S24); and can be reached from State Highway 200.,Open to Public use,01014200
Unknown,Other,NONE,Unknown,01014400
DNR,Concrete,,Open to Public use,01014600
DNR,Concrete,south side of the lake; off CSAH in Section 18,Open to Public use,01014700
DNR,Concrete,The state owned public access; with cement log ramp; is on the south side of the lake in Section 29.,Open to Public use,01015700
DNR,Concrete,The state public access is located on the SW side of the lake.,Open to Public use,01015900
DNR,Concrete,The state public access is located on the NE side of the lake.,Open to Public use,01015900
DNR,Concrete,,Open to Public use,01016100
Unknown,Other,NONE,Unknown,01016500
Unknown,Other,THERE ARE TWO PRIVATE ACCESSES ON CARLSON LAKE.,Unknown,01016600
Unknown,Other,NONE,Unknown,01016700
Unknown,Other,THERE ARE TWO PRIVATE ACCESSES ON THE NORTH SIDE OF THE LAKE.,Unknown,01016800
DNR,Concrete,,Open to Public use,01017000
Unknown,Other,THERE IS NO PUBLIC ACCESS DIRECTLY TO DIAMOND LAKE. THE LAKE CAN BE REACHED FROM HANGING KETTLE LAKE; OR FROM RIPPLE LAKE (WITH A CANOE).,Unknown,01017100
Unknown,Other,NONE,Unknown,01017500
DNR,Earthen,Located on the East side of Hwy 169 and then go through culvert,Open to Public use,01017600
DNR,Concrete,,Open to Public use,01017800
MnDOT,Earthen,Canoes and other small watercraft can be used to reach Hickory Lake from the Minnesota DOT-maintained access at US 169.,Unknown,01017900
DNR,Carry-In,West side of lake,Open to Public use,01018100
Unknown,Other,There is no public access on Bass Lake.,Unknown,01018300
Unknown,Other,THE STATE OWNED DESIGNATED PUBLIC ACCESS IS ON THE EAST SIDE OF THE LAKE IN SECTION 14.,Unknown,01018800
Unknown,Other,THERE IS A RICING ACCESS OFF COUNTY RD 19 ~CANOE ONLY~.,Unknown,01019700
Unknown,Other,THERE IS NO DESIGNATED PUBLIC ACCESS.,Unknown,01020100
DNR,Concrete,,Open to Public use,01020400
DNR,Concrete,located in T46N; R27W; Section 7; can be reached from CSAH 28 via T1022,Open to Public use,01020900
DNR,Concrete,,Open to Public use,01021200
Unknown,Other,THERE IS AN ACCESS EASEMENT OFF OF THE TOWNSHIP ROAD IN T.46 R.27 S.24.,Unknown,01021700
Unknown,Other,THE ENTIRE LAKE IS LOCATED WITHIN STATE LANDS.,Unknown,01021900
County,Concrete,South side of lake,Open to Public use,02000300
County,Concrete,,Open to Public use,02000400
County,Other,A fishing pier with parking is located on the southwest shore.,Unknown,02000400
County,Concrete,On west side of lake in Anoka County park,Open to Public use,02000600
City,Other,CITY OF LINO LAKES PARK ON SW CORNER OF THE LAKE.,Unknown,02000900
County,Other,Undeveloped county park property on the south and east shore.,Unknown,02002200
County,Concrete,,Open to Public use,02002600
,Concrete,,Unknown,02003400
County,Other,Bank access on west shore of south bay.,Unknown,02003400
Unknown,Earthen,,Unknown,02003500
Unknown,Earthen,,Unknown,02003500
County,Concrete,,Open to Public use,02004200
County,Concrete,"Concrete ramp in Anoka County Park, east shore of the east basin, by outlet.",Open to Public use,02004200
County,Concrete,Concrete ramp in Anoka County Park; east shore east basin; by outlet.,Unknown,02004200
County,Earthen,Dirt ramp off gravel road on south side of channel between basins.,Unknown,02004200
City,Concrete,,Open to Public use,02004500
City,Concrete,,Open to Public use,02005300
County,Earthen,On north side of lake off of CoRd 76.,Unknown,02006500
Unknown,Other,No public access. Much of lakeshore is park.,Unknown,02007100
City,Other,AN ACCESS IS LOCATED IN THE BLAINE CITY PARK ON THE NORTH END OF THE LAKE.,Unknown,02007200
City,Other,Most of the shoreline is city park. There is a fishing pier and shore fishing opportunity. Carry-in boat access is also possible.,Unknown,02007501
City,Other,Boat access for small craft is possible from east basin where there is carry-in access at the city park.,Unknown,02007502
DNR,Concrete,DNR owned and maintained by the City of Andover,Open to Public use,02008400
City,Pier,City of Coon Rapids owns and maintains Crooked Lake Park on the east side of the lake. A fishing pier and shore fishing are available.,Open to Public use,02008400
County,Concrete,Access on north central shore in regional park.,Fee/Permit needed,02009100
Township,Earthen,Small area off the road right of way,Unknown,02010600
Private Property,Earthen,Small area off the right of way that people use to access the lake.,Open to Public use,02010600
County,Earthen,South shore in Twin Lake County Park.,Unknown,02013300
City,Carry-In,NO BOAT RAMP. Field crew launched boat off of the SW shore.,Unknown,02058500
County,Pier,No boats allowed. Pier and shore fishing areas are available.,Open to Public use,02065400
County,Earthen,,Open to Public use,03000500
County,Gravel,,Open to Public use,03000700
County,Gravel,,Open to Public use,03000900
DNR,Concrete,,Open to Public use,03001000
DNR,Concrete,,Open to Public use,03001700
DNR,Concrete,,Open to Public use,03002900
DNR,Concrete,,Open to Public use,03003000
Unknown,Other,NONE,Unknown,03003200
County,Earthen,,Open to Public use,03004200
DNR,Earthen,,Open to Public use,03004400
Unknown,Other,NONE,Unknown,03004900
Unknown,Other,No designated access.,Unknown,03005800
MnDOT,Asphalt,,Open to Public use,03008500
County,Earthen,Parking available for possibly two rigs.,Open to Public use,03008800
Unknown,Gravel,,Open to Public use,03010100
DNR,Gravel,,Open to Public use,03010200
DNR,Asphalt,,Open to Public use,03010700
Private Property,Earthen,,Fee/Permit needed,03010700
DNR,Concrete,Parking available for approximately six rigs.,Open to Public use,03010800
County,Concrete,Parking available for three or four rigs.,Open to Public use,03012700
Unknown,Other,NONE. SHORT TRAIL OFF CO. RD. 35 ON NORTH SIDE OF LAKE.,Unknown,03013400
County,Gravel,,Open to Public use,03013600
Unknown,Other,NONE,Unknown,03013900
DNR,Concrete,Parking available for approx 10 rigs.,Open to Public use,03015300
DNR,Concrete,Parking available for 2-3 rigs.,Open to Public use,03015500
Tribal,Gravel,,Open to Public use,03015800
County,Asphalt,,Open to Public use,03015900
DNR,Gravel,,Open to Public use,03016600
DNR,Gravel,,Open to Public use,03017700
DNR,Asphalt,,Open to Public use,03018900
,Concrete,,Open to Public use,03019500
,Concrete,,Open to Public use,03019500
Fish and Wildlife Service,Earthen,This access primarily used by duck hunters with small boats.,Open to Public use,03019500
Fish and Wildlife Service,Gravel,,Open to Public use,03019500
Fish and Wildlife Service,Concrete,"Parking along access road for at least six rigs, but very tight turn-around near boat ramp. DNR recently participated in discussions with USFWS about ways to make the access more usable.",Open to Public use,03021300
DNR,Gravel,,Open to Public use,03023400
Fish and Wildlife Service,Concrete,This is the primary access. Parking for about five rigs.,Open to Public use,03024102
Fish and Wildlife Service,Concrete,Parking for about eight rigs.,Open to Public use,03024102
Fish and Wildlife Service,Concrete,May only be opened seasonally.,Open to Public use,03024102
DNR,Asphalt,,Open to Public use,03025800
City,Concrete,"Broken, narrow concrete ramp with limited parking along the street.",Open to Public use,03026400
City,Concrete,South shore in section 33. This is a Frazee city park.,Open to Public use,03026500
County,Earthen,Marginal for use if wet. Room for one or two rigs to park.,Open to Public use,03027300
Fish and Wildlife Service,Concrete,"Some trees and brush near access had been recently removed, and access ramp was being fixed at the time of this survey. Launched boat from Curley's bar during second half of survey.",Open to Public use,03028600
DNR,Concrete,There is a marked asphalt parking lot with room for approximately 6-8 rigs.,Open to Public use,03028700
Unknown,Other,NONE. ACCESSIBLE FROM C.A.R. 26 ALONG THE N SHORE AND FROM C.A.R. 113 ALONG THE SOUTH SHORE.,Unknown,03029100
DNR,Concrete,,Open to Public use,03029300
County,Concrete,Parking space available for about four rigs.,Open to Public use,03030400
DNR,Asphalt,,Open to Public use,03031300
DNR,Concrete,Access was recently expanded and remodeled. Parking lot and access road are now asphalt. Space available for approximately 12 rigs.,Open to Public use,03032300
Private Property,Concrete,,Fee/Permit needed,03032800
County,Concrete,Small and hard to find with very limited parking available.,Open to Public use,03032800
Unknown,Other,PUBLIC ACCESS AND REST AREA ON THE NORTH SIDE OF THE LAKE OFF OF CO. RD. 34.,Unknown,03033200
Unknown,Other,Public access not developed There is an access area at the south end of the lake.,Unknown,03033400
DNR,Concrete,Parking available for approximately 4-5 rigs.,Open to Public use,03035000
MnDOT,Asphalt,,Open to Public use,03035500
Township,Gravel,,Open to Public use,03035700
DNR,Carry-In,In bay on NW shore. Off asphalt road. No parking area.,Open to Public use,03035800
DNR,Concrete,,Open to Public use,03035900
Township,Carry-In,,Open to Public use,03035900
DNR,Earthen,,Open to Public use,03036000
DNR,Channel,Navigable by most boats and pontoons used on area lakes.,Open to Public use,03036000
Unknown,Other,Road along east north and west shores.,Unknown,03036300
DNR,Concrete,Parking available for two rigs.,Open to Public use,03037100
Unknown,Other,NONE,Unknown,03037401
DNR,Channel,Water access via Pelican River from Lake Melissa,Open to Public use,03037700
DNR,Asphalt,,Open to Public use,03038100
MnDOT,Asphalt,,Open to Public use,03038100
City,Asphalt,,Open to Public use,03038100
City,Asphalt,,Open to Public use,03038100
DNR,Concrete,Parking available for at least a dozen rigs. More available in adjacent city park.,Open to Public use,03038300
DNR,Asphalt,,Open to Public use,03038600
DNR,Concrete,Gravel with concrete logs and dock. Parking is available for about 10 rigs.,Open to Public use,03038700
Unknown,Other,NONE. PRIVATE ACCESS ON NORTHWEST SIDE OF LAKE. PELICAN RIVER INLET IS USED FOR ACCESS.,Unknown,03047300
DNR,Concrete,,Open to Public use,03047500
,Shore,No access observed.,Unknown,03047500
Township,Earthen,"Limited parking, too sandy to launch boat. Reportedly donated many years ago as a cartway for watering livestock.",Open to Public use,03047500
Private Property,Shore,No access observed.,Unknown,03047500
DNR,Asphalt,,Open to Public use,03048600
DNR,Concrete,,Open to Public use,03050000
,Gravel,,Open to Public use,03050300
DNR,Concrete,Parking available for approximately three or four rigs.,Open to Public use,03050600
DNR,Asphalt,,Open to Public use,03052600
DNR,Asphalt,,Open to Public use,03057500
DNR,Asphalt,,Open to Public use,03057600
DNR,Asphalt,,Open to Public use,03057600
DNR,Asphalt,,Open to Public use,03057900
DNR,Concrete,,Open to Public use,03058200
DNR,Carry-In,4 Marshy; undeveloped state-owned parcel on NW shore in section 9. PRESENTLY NOT USEABLE.,Open to Public use,03058700
Unknown,Channel,Access via channel connection to Upper Cormorant Lake in section 9. Occasionally too shallow to motor through.,Unknown,03058700
DNR,Concrete,Parking room available for approximately 6-8 rigs.,Open to Public use,03058800
DNR,Concrete,Parking available for approximately 10 rigs.,Open to Public use,03060200
Township,Gravel,,Open to Public use,03063800
,Concrete,,Open to Public use,03064800
DNR,Concrete,Parking available for approximately two or three rigs.,Open to Public use,03065700
DNR,Concrete,,Open to Public use,03065900
US Forest Service,Concrete,Knutson Dam on Cass Lake,Unknown,04000700
DNR,Concrete,Cass Lake by state hwy 2 rest area,Open to Public use,04000700
DNR,Concrete,Norway Beach,Open to Public use,04000700
DNR,Concrete,State owned in T. 147; R.30; S.15; east side of lake; concrete ramp with approximately 5 unit parking,Open to Public use,04001100
Unknown,Other,RESORT ON BIG RICE LAKE UPSTREAM. ALSO FROM KITCHI AND CASS LAKE DOWNSTREAM ON TURTLE RIVER.,Unknown,04001500
US Forest Service,Gravel,Northeast side of lake; 5 unit parking,Open to Public use,04002200
US Forest Service,Concrete,South shore of lake; owned by USFS; concrete log ramp with 10 unit parking,Open to Public use,04002400
Unknown,Other,NONE,Unknown,04002800
US Forest Service,Concrete,EAST SHORE AT KNUTSON DAM,Unknown,04003000
US Forest Service,Concrete,EAST SHORE AT NORWAY BEACH,Unknown,04003000
DNR,Concrete,SOUTHWEST SHORE,Open to Public use,04003000
Unknown,Other,THRU TURTLE RIVER ON W AND SE ~CASS LAKE~. CANOE ROUTE REST STOP ON TURTLE RIVER. BELOW BIG RICE LAKE.,Unknown,04003100
US Forest Service,Concrete,T.147-R.30-SEC 17.Concrete ramp with eight unit parking. Access off the Scenic Highway north of Pennington.,Open to Public use,04003200
US Forest Service,Earthen,USFS access on southwest corner of the lake;T.148;R.31;S.13. No hardened ramp.,Unknown,04003300
DNR,Concrete,East side of lake off of Forest Service road 2208. Approximately four unit parking.,Open to Public use,04003400
DNR,Concrete,STATE OWNS THREE ACCESSES ON THE TAMARAC RIVER,Open to Public use,04003501
DNR,Concrete,SOUTH SHORE,Open to Public use,04003501
US Forest Service,Concrete,USFS owned public access on north end of lake in T.146; R.31W.;S.8.,Open to Public use,04003800
Unknown,Other,CARRY IN ACCESS,Unknown,04003900
Unknown,Other,Thru channel from Cass Lake or private camp on east shore.,Unknown,04004200
Unknown,Other,NO DESIGNATED ACCESS.,Unknown,04004300
Unknown,Other,ROAD RIGHT-OF-WAY ACCESS TO THE LAKE FROM MAINTAINED GRAVEL RD ON E SIDE OF LAKE,Unknown,04004600
US Forest Service,Other,USFS. PORTAGE ACCESS AT NORTH END OF LAKE FROM CASS LAKE.,Unknown,04004800
US Forest Service,Concrete,USFS Access on east shore in T.147;R.31;S.34. Concrete log ramp. Approximately 8 unit parking.,Open to Public use,04004900
US Forest Service,Other,USFS ACCESS ON NORTH SHORE.,Unknown,04005000
US Forest Service,Concrete,Southeast corner of the lake; parking for about 4 rigs,Open to Public use,04005300
Unknown,Other,NONE. THERE IS CANOE ACCESS ON THE NORTH SHORE ALONG POWER LINE RIGHT OF WAY.,Unknown,04005600
US Forest Service,Other,ACCESS ON USFS OWNED LAND ON THE NORTH SIDE OF THE LAKE OFF COUNTY RD.,Unknown,04005700
Unknown,Other,400 FT PORTAGE FM NW CORNER OF N. TWIN TO SO SIDE OF BASS LAKE. PATH HAS BEEN BRUSHED AND GRAVELED.,Unknown,04006200
US Forest Service,Concrete,USFS. LANDING AND PICNIC AREA ON S.W. CORNER OF LAKE OFF COUNTY RD 22.,Unknown,04006300
Unknown,Other,ALL ADJACENT SHORELINE IS UNDER PUBLIC OWNERSHIP.,Unknown,04006400
DNR,Concrete,ACCESS ON THE EAST SHORE AT THE CITY PARK OFF CSA 30; T.149; R.31; S.11).  ACCESS ON THE EAST SHORE AT THE CITY PARK OFF CSA 30; T.149; R.31; S.11).,Open to Public use,04006900
Unknown,Other,No designated public access,Unknown,04007600
DNR,Concrete,STATE OWNED ACCESS ON WEST SIDE OF LAKE; T.146;R.32;S.35 CONCRETE RAMP; APPROXIMATELY 12 UNIT PARKING,Open to Public use,04007900
Unknown,Other,,Unknown,04008500
Unknown,Other,NONE,Unknown,04008600
Unknown,Other,NONE,Unknown,04011000
DNR,Concrete,Designated public access on North shore near inlet. 6-8 unit parking. Sec. 33. 1/2 mile east of Turtle River.,Open to Public use,04011100
DNR,Concrete,State owned access on southwest side of lake. T. 148; R. 32; S. 4; Concrete RAMP WITH APPROX 8 UNIT PARKING,Open to Public use,04012000
DNR,Gravel,State owned access on E end of the lake (near Cedar Resort).,Open to Public use,04012200
DNR,Concrete,North end of lake off of Sandy Lake Road NE. Eight unit parking.,Open to Public use,04012400
Unknown,Other,NO DESIGNATED PUBLIC ACCESS. BOATS MAY TRAVEL DOWNSTREAM FROM LAKE BEMIDJI,Unknown,04013001
City,Concrete,NYMORE ACCESS SOUTH END OF LAKE ABOUT 15 UNIT PARKING,Unknown,04013002
City,Concrete,CAMERON ACCESS WEST SHORE ABOUT 25 UNIT PARKING,Open to Public use,04013002
DNR,Concrete,NORTHWOODS ACCESS NORTHWEST CORNER 20 UNIT PARKING,Open to Public use,04013002
DNR,Concrete,LAKE BEMIDJI STATE PARK 5 UNIT PARKING PLUS CAMPGROUND AND DOCKING.,Open to Public use,04013002
Township,Concrete,LAVINIA 3 UNIT PARKING ~LIMITED TURN AROUND SPACE~,Open to Public use,04013002
City,Concrete,DIAMOND POINT PARKING LIMITED. PUBLIC BEACH,Open to Public use,04013002
DNR,Concrete,South end of lake off of Tall Pines Road. Eight unit parking.,Open to Public use,04013202
Unknown,Other,,Unknown,04013300
DNR,Earthen,STATE OWNED; T.148;R.32;S.18. N.E. CORNER OF LAKE; DIRT RAMP; APPROX. 5 UNIT PARKING.,Open to Public use,04013400
DNR,Concrete,Public access on south side of lake - state owned.,Open to Public use,04013500
City,Concrete,CITY ACCESS ON NO SHORE NEAR OUTLET; 10 UNIT PARKI NG;DOCK PRESENT.,Open to Public use,04014000
Unknown,Other,NONE. ACCESSIBLE THROUGH MISSISSIPPI AND SCHOOL-CRAFT RIVERS.,Unknown,04014100
Unknown,Channel,No designated public access. Access can be gained through the channel from Big Turtle Lake.,Unknown,04015200
Unknown,Other,NONE,Unknown,04015400
DNR,Channel,Access via river channel from Big Turtle Lake,Open to Public use,04015500
Unknown,Other,NONE,Unknown,04015700
DNR,Concrete,West shore of lake; off county road 15. 10 unit parking.,Open to Public use,04015900
Unknown,Other,NONE,Unknown,04016200
DNR,Concrete,NORTH END OF LAKE OFF OF CO RD 26. 12 UNIT PARKING.,Open to Public use,04016600
Unknown,Other,Access of Co. Rd. 200 S.36 on West side of lake.,Unknown,04017900
DNR,Concrete,Public access on SE shore; T 148N; R 33W; S 24 Approximate 6 rig parking,Open to Public use,04019600
Unknown,Other,STATE OWNED ACCESS ON S END IN VILLAGE OF PUPOSKY - EARTH RAMP 5 CAR PARKING.,Unknown,04019800
Unknown,Other,NONE,Unknown,04021100
Unknown,Other,ROAD RIGHT OF WAY SOUTH SOUTHEAST SIDE OF LAKE,Unknown,04021300
DNR,Concrete,ACCESS AT ROGNLIEN STATE FOREST PARK IN WILTON IN T.146; R.34; S.4 - 6 UNIT PARKING,Open to Public use,04021700
Unknown,Other,NONE,Unknown,04022700
DNR,Other,Southeast corner of lake off of state hwy. 89 Asphalt ramp with steel mesh grate in water.,Open to Public use,04023000
Unknown,Other,STATE OWNED ACCESS ON SOUTHEAST SHORE.,Unknown,04026500
Unknown,Other,NONE,Unknown,04029700
County,Earthen,Public access on Southeast shoreline.,Open to Public use,04029800
County,Earthen,Public access on the NE corner of the lake.,Open to Public use,04030000
Unknown,Other,NONE,Unknown,04030400
DNR,Gravel,State owned access on NW shore - parking for 3 vehicles with trailers,Open to Public use,04030700
County,Other,No designated access- available across county land from road on SE bay.,Unknown,04032600
DNR,Concrete,NORTH SIDE OF LAKE. SECTION 23. APPROXIMATELY 10 UNIT PARKING.,Open to Public use,04032900
DNR,Concrete,Northwest side of lake off Cty Rd 32 - parking space for about 10 rigs.,Open to Public use,04033100
County,Earthen,COUNTY OWNED T.146;R.36S.12; SW CORNER OF LAKE; EARTH RAMP; 8 UNIT PARKING.,Open to Public use,04034200
DNR,Concrete,STATE OWNED ACCESS ON NORTHWEST CORNER OF LAKE; CONCRETE RAMP; APPROXIMATELY 10 UNIT PARKING.,Open to Public use,04034300
Unknown,Other,FOREST TRAIL COUNTY MEMORIAL FOREST FROM SOUTHWEST,Unknown,04038200
Unknown,Other,LOGGING TRAIL OFF OF A TOWNSHIP ROAD LEADS TO THE NORTH SIDE OF LAKE ON TAX FORFEITED LAND.,Unknown,04038500
County,Gravel,COUNTY OWNED ACCESS ON SOUTHWEST CORNER OF LAKE.,Open to Public use,05000700
County,Gravel,COUNTY OWNED ACCESS ON NE SIDE OF LAKE ; NE1/4,Unknown,05001300
DNR,Concrete,STATE OWNED ACCESS BY HWY. 10 BRIDGE. SEC 15,Open to Public use,05001300
DNR,Gravel,,Open to Public use,06000100
DNR,Gravel,,Open to Public use,06000100
DNR,Concrete,,Open to Public use,06000100
DNR,Carry-In,,Open to Public use,06000100
DNR,Gravel,,Open to Public use,06000100
DNR,Concrete,,Open to Public use,06000200
DNR,Concrete,,Open to Public use,06000200
Township,Concrete,,Open to Public use,06000200
County,Earthen,,Open to Public use,06002000
Unknown,Other,No boat ramp. County Road #64 right of way along lakes north shore.,Unknown,06002800
DNR,Concrete,,Open to Public use,06002900
Unknown,Earthen,Access gained off of Big Stone County Road 21.,Unknown,06005000
DNR,Earthen,Access gained through a MNDNR WMA.,Open to Public use,06006000
Unknown,Other,No designated public access.,Unknown,06009300
Township,Earthen,Access is gained off of flooded township road.,Unknown,06010300
DNR,Concrete,,Open to Public use,06012100
Unknown,Earthen,Access can be gained along Highway 75; Big Stone County Road 6 and the City of Clinton.,Unknown,06012900
County,Concrete,,Open to Public use,06013800
Unknown,Gravel,,Open to Public use,06013800
MnDOT,Earthen,Access was gained from Minnesota Department of Transportation land on the northwest corner of the lake.,Unknown,06013900
County,Earthen,Access can be gained off a flooded township road on the south end of the lake.,Unknown,06014700
Bordering State,Concrete,,Open to Public use,06015200
Bordering State,Concrete,,Open to Public use,06015200
Bordering State,Concrete,,Open to Public use,06015200
Bordering State,Concrete,,Fee/Permit needed,06015200
Bordering State,Concrete,,Open to Public use,06015200
DNR,Concrete,,Open to Public use,06015200
Township,Gravel,,Open to Public use,06015200
DNR,Concrete,,Fee/Permit needed,06015200
Township,Concrete,,Open to Public use,06015200
DNR,Concrete,,Fee/Permit needed,06015200
DNR,Concrete,,Open to Public use,06015200
DNR,Concrete,,Open to Public use,06015200
City,Concrete,,Open to Public use,06015200
City,Concrete,,Open to Public use,06015200
Fish and Wildlife Service,Carry-In,Access was gained on southeast shore; off of minimum maintainence road. Waterfowl access was not located.,Unknown,06017000
County,Concrete,Inside Bray County Park (Blue Earth County),Open to Public use,07004400
DNR,Asphalt,DNR Public Access,Open to Public use,07004400
City,Gravel,City Public Access,Open to Public use,07004400
County,Concrete,SOUTH SHORE,Unknown,07004700
County,Concrete,Access is in good condition. Features dock and ample parking.,Open to Public use,07005300
DNR,Concrete,SOUTH SHORE OF EAST BAY,Open to Public use,07005400
DNR,Carry-In,Foot access from Sakatah State Trail.,Open to Public use,07006000
County,Concrete,NORTH SHORE COUNTY OWNED.,Unknown,07006000
DNR,Concrete,East basin next to county park entrance,Open to Public use,07007900
County,Gravel,Daly Park -County Park Access,Open to Public use,07007900
Unknown,Gravel,,Open to Public use,07007900
Private Property,Gravel,Lura Lake Sportsman's Club Access- Open to Public,Open to Public use,07007900
DNR,Concrete,,Open to Public use,07009000
DNR,Concrete,Access feature double ramps - dock and ample parking.,Open to Public use,07009600
DNR,Concrete,dock-limited parking,Open to Public use,07009700
City,Concrete,Good access with a dock and fishing pier.,Open to Public use,07009800
City,Other,CITY PARK AND BEACH,Unknown,07014700
City,Other,CITY OWNED PROPERTY OFF STREET ON WEST SHORE.,Unknown,07015800
City,Other,CITY PARK AROUND 70% OF THE POND NO BOAT ACCESS.,Unknown,07015900
City,Other,CITY PARK ~RASMUSSEN PARK~ WITH A CART WAY ALONG THE NORTH SHORE.,Unknown,07016000
,Other,No boat access,Unknown,07016100
County,Concrete,,Open to Public use,08001100
DNR,Concrete,,Open to Public use,08002600
DNR,Concrete,,Open to Public use,08002600
County,Carry-In,,Open to Public use,08002600
County,Concrete,,Open to Public use,08002600
City,Concrete,,Open to Public use,08004500
City,Other,CITY OWNED LAND ON SW SHORE,Unknown,08012800
County,Concrete,SW Shore; in Mound Creek County Park,Unknown,08012900
